iter	RMSE
0	6.951021093
1	6.793631151
2	6.648331077
3	6.524507311
4	6.414206016
5	6.307733744
6	6.201773607
7	6.106596852
8	6.008631165
9	5.926832755
10	5.858731823
11	5.786823063
12	5.711571171
13	5.631624438
14	5.566225825
15	5.514222007
16	5.4549021
17	5.39695194
18	5.347886716
19	5.302445085
20	5.258361831
21	5.212609205
22	5.165013342
23	5.131390005
24	5.093123748
25	5.05860641
26	5.018348954
27	4.975525994
28	4.934437442
29	4.901560397
30	4.870121032
31	4.83977171
32	4.804101993
33	4.772996662
34	4.747666673
35	4.720519166
36	4.692731642
37	4.668388271
38	4.645557084
39	4.627863418
40	4.614674428
41	4.579740512
42	4.558445212
43	4.535845296
44	4.517031051
45	4.495845978
46	4.478691549
47	4.461195124
48	4.444318095
49	4.424603141
50	4.404092825
51	4.386059172
52	4.371436589
53	4.353441928
54	4.338879404
55	4.321368585
56	4.310232166
57	4.292744852
58	4.279717589
59	4.267307962
60	4.252500988
61	4.244479262
62	4.230557733
63	4.219192942
64	4.202614643
65	4.194575722
66	4.184151517
67	4.171483664
68	4.162031578
69	4.15497393
70	4.147488
71	4.139138685
72	4.129865819
73	4.121284802
74	4.11244446
75	4.09805194
76	4.093745431
77	4.080760917
78	4.07241969
79	4.066134652
80	4.055917831
81	4.050482687
82	4.043120737
83	4.039120998
84	4.027582336
85	4.017600905
86	4.005939374
87	3.996605213
88	3.993221891
89	3.989632591
90	3.983301707
91	3.976728997
92	3.97247856
93	3.96539559
94	3.959293344
95	3.953867094
96	3.950845399
97	3.939689553
98	3.935373014
99	3.927686767
100	3.925049801
101	3.920359089
102	3.914741044
103	3.906382738
104	3.898267128
105	3.891507194
106	3.887125018
107	3.880569452
108	3.87436254
109	3.871396398
110	3.865830889
111	3.860500454
112	3.853652218
113	3.849598344
114	3.842492647
115	3.837573958
116	3.832590506
117	3.829720035
118	3.82594416
119	3.823398517
120	3.817011713
121	3.814112738
122	3.808429687
123	3.805124188
124	3.798705399
125	3.792910878
126	3.789594079
127	3.785151365
128	3.781256579
129	3.776623288
130	3.770581785
131	3.761148623
132	3.757945143
133	3.753743303
134	3.748458892
135	3.745120034
136	3.74035592
137	3.736709996
138	3.733769451
139	3.730911433
140	3.723337656
141	3.721111377
142	3.714133157
143	3.710228226
144	3.706517652
145	3.702588621
146	3.697182388
147	3.69226265
148	3.688256688
149	3.680435174
150	3.675692637
151	3.671823165
152	3.667248101
153	3.663211597
154	3.656103441
155	3.648180956
156	3.64223623
157	3.636392221
158	3.630696155
159	3.628902127
160	3.622741245
161	3.617550796
162	3.614669271
163	3.611596894
164	3.605609779
165	3.600163193
166	3.596178238
167	3.590691893
168	3.585440507
169	3.57899599
170	3.574340229
171	3.567777449
172	3.563286722
173	3.559057529
174	3.553788832
175	3.549167769
176	3.54268365
177	3.538808234
178	3.535705568
179	3.531804039
180	3.528315853
181	3.522179392
182	3.517118452
183	3.511988298
184	3.507475668
185	3.501991204
186	3.498005984
187	3.494044363
188	3.48863213
189	3.484748118
190	3.481762429
191	3.47725349
192	3.475061016
193	3.471661847
194	3.467793779
195	3.463499099
196	3.460175771
197	3.459588683
198	3.455215765
199	3.451159702
200	3.447287564
201	3.44268556
202	3.438713792
203	3.434022088
204	3.429027125
205	3.428606388
206	3.425305416
207	3.422329162
208	3.418484386
209	3.415933672
210	3.412075169
211	3.408714988
212	3.405572164
213	3.400668315
214	3.396079408
215	3.391923514
216	3.387689969
217	3.384059225
218	3.381663433
219	3.377583772
220	3.377088998
221	3.373870551
222	3.371428595
223	3.367843915
224	3.36357941
225	3.361011048
226	3.356050905
227	3.352930616
228	3.348683013
229	3.345055634
230	3.341328128
231	3.339190553
232	3.334468941
233	3.330702042
234	3.328807425
235	3.32565253
236	3.32265054
237	3.322072123
238	3.319745065
239	3.317872203
240	3.315776286
241	3.311887863
242	3.308541779
243	3.308196063
244	3.304545182
245	3.301966754
246	3.298619509
247	3.293867398
248	3.287696735
249	3.284143825
250	3.28084177
251	3.27807696
252	3.275120674
253	3.271775808
254	3.268802489
255	3.266595901
256	3.26625955
257	3.263238518
258	3.258407219
259	3.256191676
260	3.253238442
261	3.250874703
262	3.250591118
263	3.248839781
264	3.246919248
265	3.244233126
266	3.244070707
267	3.24069409
268	3.238047399
269	3.234897018
270	3.234725931
