iter	Passed	Remaining
0	421	420767
1	760	379369
2	1036	344298
3	1305	325140
4	1585	315596
5	1897	314345
6	2176	308738
7	2458	304799
8	2764	304411
9	3024	299404
10	3289	295767
11	3564	293485
12	3876	294296
13	4200	295821
14	4512	296301
15	4826	296837
16	5153	297986
17	5441	296864
18	5726	295674
19	6029	295431
20	6321	294714
21	6584	292720
22	6880	292287
23	7158	291098
24	7419	289372
25	7702	288529
26	8003	288409
27	8303	288243
28	8603	288063
29	8907	287995
30	9200	287582
31	9475	286640
32	9762	286083
33	10052	285603
34	10346	285280
35	10661	285490
36	10973	285620
37	11426	289278
38	11826	291410
39	12124	290985
40	12384	289665
41	12661	288801
42	12940	288001
43	13221	287259
44	13507	286666
45	13824	286718
46	14182	287573
47	14484	287274
48	14781	286888
49	15097	286853
50	15400	286569
51	15681	285885
52	15958	285146
53	16245	284588
54	16512	283717
55	16801	283231
56	17057	282191
57	17356	281893
58	17654	281572
59	17934	280976
60	18224	280534
61	18529	280330
62	18801	279641
63	19071	278927
64	19367	278592
65	19621	277675
66	19896	277065
67	20185	276665
68	20454	275985
69	20803	276391
70	21146	276692
71	21435	276284
72	21747	276162
73	22023	275587
74	22431	276657
75	22810	277324
76	23117	277109
77	23426	276908
78	23731	276670
79	24017	276205
80	24321	275943
81	24620	275629
82	24916	275282
83	25202	274828
84	25477	274253
85	25757	273752
86	26017	273035
87	26313	272703
88	26567	271943
89	26843	271414
90	27154	271243
91	27431	270732
92	27709	270246
93	28112	270952
94	28412	270663
95	28670	269979
96	29022	270177
97	29343	270079
98	29619	269564
99	29906	269161
100	30165	268499
101	30479	268343
102	30854	268701
103	31184	268669
104	31534	268798
105	31868	268773
106	32148	268305
107	32416	267734
108	32706	267350
109	33000	267000
110	33303	266730
111	33609	266479
112	33979	266720
113	34270	266348
114	34562	265983
115	34844	265542
116	35156	265328
117	35435	264861
118	35760	264751
119	36022	264166
120	36333	263939
121	36670	263909
122	37005	263850
123	37311	263584
124	37685	263795
125	37993	263542
126	38281	263144
127	38574	262787
128	38825	262147
129	39079	261530
130	39359	261094
131	39682	260939
132	40025	260915
133	40369	260894
134	40724	260937
135	41024	260627
136	41310	260227
137	41596	259828
138	41863	259310
139	42124	258761
140	42382	258205
141	42634	257608
142	42913	257178
143	43166	256598
144	43423	256050
145	43710	255679
146	44007	255361
147	44275	254881
148	44559	254498
149	44851	254156
150	45134	253768
151	45375	253149
152	45628	252595
153	45906	252188
154	46177	251741
155	46451	251315
156	46706	250785
157	46959	250251
158	47232	249827
159	47479	249269
160	47801	249102
161	48152	249086
162	48425	248665
163	48669	248093
164	48965	247793
165	49244	247411
166	49527	247044
167	49788	246574
168	50074	246222
169	50375	245950
170	50660	245598
171	51022	245619
172	51322	245338
173	51630	245096
174	52092	245578
175	52424	245444
176	52746	245256
177	53130	245357
178	53486	245322
179	53827	245214
180	54229	245381
181	54543	245147
182	54858	244913
183	55274	245128
184	55671	245253
185	56004	245095
186	56385	245139
187	56845	245522
188	57243	245634
189	57591	245521
190	57944	245430
191	58372	245651
192	58832	245999
193	59154	245765
194	59450	245422
195	59776	245204
196	60112	245027
197	60404	244670
198	60774	244625
199	61171	244684
200	61443	244247
201	61752	243953
202	62059	243652
203	62349	243284
204	62656	242983
205	62907	242470
206	63204	242132
207	63565	242039
208	63922	241926
209	64316	241953
210	64801	242313
211	65192	242319
212	65547	242188
213	65986	242360
214	66379	242360
215	66771	242354
216	67143	242271
217	67501	242136
218	67908	242177
219	68290	242119
220	68544	241610
221	68903	241472
222	69187	241068
223	69468	240659
224	69804	240438
225	70106	240099
226	70463	239949
227	70731	239494
228	71150	239551
229	71467	239261
230	71782	238962
231	72206	239028
232	72551	238828
233	72994	238946
234	73291	238587
235	73631	238367
236	73971	238145
237	74256	237745
238	74549	237372
239	74918	237242
240	75189	236798
241	75492	236459
242	75858	236315
243	76116	235837
244	76421	235502
245	76830	235489
246	77151	235203
247	77477	234930
248	77796	234638
249	78132	234397
250	78479	234188
251	78793	233879
252	79177	233776
253	79557	233660
254	79942	233557
255	80276	233303
256	80537	232838
257	80909	232693
258	81271	232518
259	81582	232195
260	81873	231817
261	82179	231481
262	82444	231032
263	82727	230634
264	83010	230235
265	83283	229811
266	83535	229332
267	83834	228981
268	84128	228617
269	84452	228333
270	84694	227832
